ID,Species,Group,Area,Survey,Type,Value,Harbour,POINT_X,POINT_Y
1,Red-throated Loon,Loons and Grebes,All,Apr-97,Count,2,Sooke,451104.2592,5357929.252
2,Pacific Loon,Loons and Grebes,All,Apr-97,Count,NA,Sooke,451207.8174,5358154.355
3,Common Loon,Loons and Grebes,All,Apr-97,Count,5,Sooke,451246.8029,5358801.456
4,Yellow-billed Loon,Loons and Grebes,All,Apr-97,Count,NA,Esquimalt,467727.1473,5366063.737
5,Pied--bllled Grebe,Loons and Grebes,All,Apr-97,Count,NA,Esquimalt,467092.2909,5364732.95
6,Eared Grebe,Loons and Grebes,All,Apr-97,Count,NA,Esquimalt,467089.4481,5365038.106
7,Red-necked Grebe,Loons and Grebes,All,Apr-97,Count,3,Sooke,451785.8143,5359256.563
8,Horned Grebe,Loons and Grebes,All,Apr-97,Count,6,Sooke,451205.797,5358267.055
9,Western Grebe,Loons and Grebes,All,Apr-97,Count,1,Sooke,449831.072,5358944.573
10,Double-crested Cormorant,Cormorants,All,Apr-97,Count,110,Esquimalt,467207.5532,5365371.329
11,Brandt's Cormorant,Cormorants,All,Apr-97,Count,NA,Sooke,450166.0298,5359371.065
12,Pelagic Cormorant,Cormorants,All,Apr-97,Count,4,Esquimalt,466864.6057,5365804.931
13,Great Blue Heron,Herons,All,Apr-97,Count,7,Esquimalt,467352.6506,5365383.486
14,Mute Swan,Waterfowl,All,Apr-97,Count,1,Sooke,452626.2483,5359130.425
15,Trumpeter Swan,Waterfowl,All,Apr-97,Count,NA,Sooke,451584.573,5359785.834
16,Canada Goose,Waterfowl,All,Apr-97,Count,21,Esquimalt,467317.2912,5365486.129
17,Brant,Waterfowl,All,Apr-97,Count,16,Esquimalt,467333.4985,5365203.204
18,Wood Duck,Waterfowl,All,Apr-97,Count,NA,Esquimalt,467403.6522,5365441.723
19,Green-winged Teal,Waterfowl,All,Apr-97,Count,170,Sooke,452796.9742,5357362.7
20,Gadwall,Waterfowl,All,Apr-97,Count,33,Esquimalt,467776.8744,5364572.87
21,Mallard,Waterfowl,All,Apr-97,Count,58,Sooke,451606.9416,5358703.545
22,Northern Pintail,Waterfowl,All,Apr-97,Count,11,Esquimalt,467020.6177,5364673.25
23,Eurasian Wigeon,Waterfowl,All,Apr-97,Count,NA,Esquimalt,468483.6,5364538.222
24,American Wigeon,Waterfowl,All,Apr-97,Count,26,Sooke,450893.8788,5357874.568
25,Canvasback,Waterfowl,All,Apr-97,Count,1,Esquimalt,467358.7303,5365815.199
26,Greater Scaup,Waterfowl,All,Apr-97,Count,127,Esquimalt,466451.2751,5366925.125
27,Lesser Scaup,Waterfowl,All,Apr-97,Count,2,Sooke,451053.1047,5358103.145
28,scaup sp.,Waterfowl,All,Apr-97,Count,33,Esquimalt,467144.4392,5364818.404
29,Harlequin Duck,Waterfowl,All,Apr-97,Count,4,Sooke,450738.6653,5357345.372
30,Oldsquaw,Waterfowl,All,Apr-97,Count,2,Sooke,450877.1768,5357473.719
31,Surf Seater,Waterfowl,All,Apr-97,Count,81,Esquimalt,467457.4081,5366035.484
32,White-w inged Scoter,Waterfowl,All,Apr-97,Count,5,Esquimalt,468334.3733,5364714.241
33,Common Goldeneye,Waterfowl,All,Apr-97,Count,3,Sooke,452129.3123,5357931.338
34,Bufflehead,Waterfowl,All,Apr-97,Count,164,Esquimalt,467106.6621,5365278.037
35,Hooded Merganser,Waterfowl,All,Apr-97,Count,5,Sooke,452077.8826,5357647.491
36,Common Merganser,Waterfowl,All,Apr-97,Count,44,Sooke,450835.0498,5358927.249
37,Red-breasted Merganser,Waterfowl,All,Apr-97,Count,205,Sooke,451958.3028,5358795.792
38,American Coot,Coots,All,Apr-97,Count,NA,Esquimalt,468472.0546,5364755.739
39,Semipalmated Plover,Shorebirds,All,Apr-97,Count,NA,Esquimalt,466474.6145,5366947.065
40,Killdeer,Shorebirds,All,Apr-97,Count,3,Sooke,452869.474,5358463.642
41,Black-bellied Plover,Shorebirds,All,Apr-97,Count,NA,Esquimalt,468213.6025,5364859.675
42,Black Oystercatcher,Shorebirds,All,Apr-97,Count,5,Esquimalt,468078.5311,5365057.55
43,Greater Yellowlegs,Shorebirds,All,Apr-97,Count,2,Sooke,449911.4382,5357947.844
44,Ruddy Turnstone,Shorebirds,All,Apr-97,Count,NA,Esquimalt,468004.7531,5364562.756
45,Black Turnstone,Shorebirds,All,Apr-97,Count,18,Sooke,451460.275,5359624.902
46,Dunlin,Shorebirds,All,Apr-97,Count,1,Esquimalt,467745.5835,5365390.528
47,Western Sandpiper,Shorebirds,All,Apr-97,Count,6,Sooke,452523.3066,5357645.621
48,Least Sandpiper,Shorebirds,All,Apr-97,Count,NA,Sooke,451441.9412,5358874.912
49,Sanderllng,Shorebirds,All,Apr-97,Count,NA,Esquimalt,467701.0284,5366300.295
50,Short-billed Dowitcher,Shorebirds,All,Apr-97,Count,NA,Sooke,452759.0873,5357256.822
51,Common Snipe,Shorebirds,All,Apr-97,Count,NA,Sooke,451968.5182,5357813.262
52,Red-necked Phalarope,Shorebirds,All,Apr-97,Count,NA,Sooke,451220.9238,5358931.275
53,Bonaparte's Gull,Gulls and Terns,All,Apr-97,Count,1,Esquimalt,466621.6646,5366530.918
54,Heermann's Gull,Gulls and Terns,All,Apr-97,Count,NA,Esquimalt,467314.2744,5366134.166
55,Mew Gull,Gulls and Terns,All,Apr-97,Count,161,Esquimalt,467419.1233,5365677.625
56,California Gull,Gulls and Terns,All,Apr-97,Count,2,Esquimalt,467859.7765,5366300.657
57,Thayer's Gull,Gulls and Terns,All,Apr-97,Count,NA,Sooke,451185.7944,5359403.743
58,Glaucous-winged Gull,Gulls and Terns,All,Apr-97,Count,241,Sooke,451314.2214,5357753.075
59,Western Gull,Gulls and Terns,All,Apr-97,Count,NA,Sooke,452019.2128,5358777.571
60,gull sp.,Gulls and Terns,All,Apr-97,Count,NA,Sooke,450383.5965,5357656.584
61,Caspian Tern,Gulls and Terns,All,Apr-97,Count,NA,Sooke,450315.6745,5358749.827
62,Common Murra,Auks,All,Apr-97,Count,NA,Esquimalt,468336.4791,5364685.915
63,Pigeon Guillemot,Auks,All,Apr-97,Count,6,Esquimalt,467258.9145,5365778.771
64,Marbled Murrrelet,Auks,All,Apr-97,Count,NA,Esquimalt,467945.8763,5364951.776
65,Cassln's Auklet,Auks,All,Apr-97,Count,NA,Esquimalt,467763.4264,5365044.283
66,Rhinoceros Auklet,Auks,All,Apr-97,Count,26,Sooke,450807.6303,5357807.488
67,Pied-billed Grebe,Loons and Grebes,A,Apr-97,Count,NA,Sooke,451454.9312,5359903.986
68,Horned Grebe,Loons and Grebes,A,Apr-97,Count,NA,Sooke,449635.5201,5358385.263
69,Western Grebe,Loons and Grebes,A,Apr-97,Count,1,Esquimalt,467477.763,5365624.007
70,Double-crested Cormorant,Cormorants,A,Apr-97,Count,47,Sooke,451026.9061,5359325.098
71,Great Blue Heron,Herons,A,Apr-97,Count,2,Sooke,452629.522,5357390.257
72,Mute Swan,Waterfowl,A,Apr-97,Count,NA,Sooke,452719.2417,5359113.636
73,Canada Goose,Waterfowl,A,Apr-97,Count,5,Esquimalt,466955.5103,5364545.916
74,Wood Duck,Waterfowl,A,Apr-97,Count,NA,Sooke,452683.7675,5359340.229
75,Green-winged Teal,Waterfowl,A,Apr-97,Count,162,Sooke,451100.5157,5357437.251
76,Gadwall,Waterfowl,A,Apr-97,Count,33,Sooke,450428.2516,5358304.909
77,Mallard,Waterfowl,A,Apr-97,Count,15,Sooke,450676.5563,5357516.951
78,Northern Pintail,Waterfowl,A,Apr-97,Count,11,Sooke,450873.3115,5357561.877
79,Eurasian Wigeon,Waterfowl,A,Apr-97,Count,NA,Sooke,450513.4882,5358755.461
80,American Wigeon,Waterfowl,A,Apr-97,Count,15,Sooke,451422.4005,5357682.415
81,Canvasback,Waterfowl,A,Apr-97,Count,NA,Esquimalt,466841.7004,5365422.671
82,Greater Scaup,Waterfowl,A,Apr-97,Count,127,Sooke,450139.1706,5358633.212
83,Lesser Scaup,Waterfowl,A,Apr-97,Count,2,Esquimalt,467259.0777,5365728.778
84,Scaup sp.,Waterfowl,A,Apr-97,Count,19,Sooke,450983.5721,5357463.756
85,Surf Scoter,Waterfowl,A,Apr-97,Count,NA,Esquimalt,467553.5618,5364515.953
86,Common Goldeneye,Waterfowl,A,Apr-97,Count,NA,Esquimalt,467446.0545,5366091.923
87,Bufflehead,Waterfowl,A,Apr-97,Count,52,Sooke,449948.421,5359577.289
88,Hooded Merganser,Waterfowl,A,Apr-97,Count,NA,Esquimalt,467443.7055,5365754.398
89,Common Merganser,Waterfowl,A,Apr-97,Count,19,Esquimalt,467288.8232,5365509.187
90,American Coot,Coots,A,Apr-97,Count,NA,Sooke,451774.4964,5358009.295
91,Killdeer,Shorebirds,A,Apr-97,Count,NA,Esquimalt,466960.6296,5365886.067
92,Western Sandpiper,Shorebirds,A,Apr-97,Count,NA,Sooke,449721.3768,5357974.829
93,California Gull,Gulls and Terns,A,Apr-97,Count,NA,Esquimalt,466849.7495,5364763.642
94,Glaucous-winged Gull,Gulls and Terns,A,Apr-97,Count,14,Esquimalt,467415.1844,5365140.268
95,Belted Kingfisher,Kingfishers,A,Apr-97,Count,NA,Esquimalt,467755.8092,5364934.957
96,Double-crested Cormorant,Cormorants,B,Apr-97,Count,6,Sooke,449686.4017,5358736.301
97,Great Blue Heron,Herons,B,Apr-97,Count,NA,Sooke,450190.3068,5357472.985
98,Trumpeter Swan,Waterfowl,B,Apr-97,Count,NA,Sooke,449799.4112,5359130.052
99,Canada Goose,Waterfowl,B,Apr-97,Count,NA,Esquimalt,467986.2889,5364871.712
100,Mallard,Waterfowl,B,Apr-97,Count,15,Sooke,450432.0144,5359577.814
101,Eurasian Wigeon,Waterfowl,B,Apr-97,Count,NA,Sooke,452473.4875,5357731.423
102,American Wigeon,Waterfowl,B,Apr-97,Count,2,Sooke,452505.8777,5358303.091
103,Canvasback,Waterfowl,B,Apr-97,Count,NA,Sooke,451121.8781,5357680.022
104,Greater Scaup,Waterfowl,B,Apr-97,Count,NA,Sooke,449407.019,5358748.884
105,scaup sp.,Waterfowl,B,Apr-97,Count,14,Sooke,452681.4088,5358097.513
106,Bufflehead,Waterfowl,B,Apr-97,Count,28,Sooke,451589.2496,5359654.54
107,Hooded Merganser,Waterfowl,B,Apr-97,Count,NA,Sooke,452152.0253,5358305.593
108,Common Merganser,Waterfowl,B,Apr-97,Count,13,Esquimalt,467193.7419,5365753.408
109,Red-breasted Merganser,Waterfowl,B,Apr-97,Count,NA,Esquimalt,467348.1802,5364605.363
110,Western Sandpiper,Shorebirds,B,Apr-97,Count,NA,Esquimalt,466845.6967,5364767.16
111,Least Sandpiper,Shorebirds,B,Apr-97,Count,NA,Esquimalt,466330.1738,5366927.972
112,Mew Gull,Gulls and Terns,B,Apr-97,Count,NA,Sooke,450590.968,5358676.237
113,California Gull,Gulls and Terns,B,Apr-97,Count,NA,Esquimalt,467535.6942,5365426.434
114,Glaucous-winged Gull,Gulls and Terns,B,Apr-97,Count,11,Esquimalt,467304.7108,5364700.429
115,Belted Kingfisher,Kingfishers,B,Apr-97,Count,NA,Sooke,449930.8149,5358353.393
116,Red-throated Loon,Loons and Grebes,All,Jun-97,Count,NA,Esquimalt,466451.8638,5366831.484
117,Pacific Loon,Loons and Grebes,All,Jun-97,Count,NA,Esquimalt,468292.5587,5364324.533
118,Common Loon,Loons and Grebes,All,Jun-97,Count,1,Sooke,452143.7191,5357248.431
119,Yellow-billed Loon,Loons and Grebes,All,Jun-97,Count,NA,Sooke,449686.2579,5358060.216
120,Pied--bllled Grebe,Loons and Grebes,All,Jun-97,Count,NA,Esquimalt,466711.657,5366956.295
121,Eared Grebe,Loons and Grebes,All,Jun-97,Count,NA,Sooke,452289.6331,5358920.715
122,Red-necked Grebe,Loons and Grebes,All,Jun-97,Count,NA,Sooke,450387.5987,5359341.885
123,Horned Grebe,Loons and Grebes,All,Jun-97,Count,NA,Sooke,449704.2109,5359355.859
124,Western Grebe,Loons and Grebes,All,Jun-97,Count,NA,Esquimalt,467938.8908,5364605.915
125,Double-crested Cormorant,Cormorants,All,Jun-97,Count,15,Sooke,452095.67,5358584.973
126,Brandt's Cormorant,Cormorants,All,Jun-97,Count,NA,Sooke,449899.331,5359212.226
127,Pelagic Cormorant,Cormorants,All,Jun-97,Count,2,Sooke,450829.8117,5358595.232
128,Great Blue Heron,Herons,All,Jun-97,Count,8,Esquimalt,467049.6926,5365378.318
129,Mute Swan,Waterfowl,All,Jun-97,Count,4,Sooke,452530.8843,5359406.974
130,Trumpeter Swan,Waterfowl,All,Jun-97,Count,NA,Sooke,449757.8734,5357641.624
131,Canada Goose,Waterfowl,All,Jun-97,Count,6.01,Sooke,449877.0194,5358649.214
132,Brant,Waterfowl,All,Jun-97,Count,NA,Esquimalt,466903.1843,5366482.48
133,Wood Duck,Waterfowl,All,Jun-97,Count,NA,Sooke,451879.1726,5357791.631
134,Green-winged Teal,Waterfowl,All,Jun-97,Count,NA,Sooke,451997.7162,5359333.528
135,Gadwall,Waterfowl,All,Jun-97,Count,NA,Sooke,451571.4718,5357601.609
136,Mallard,Waterfowl,All,Jun-97,Count,54,Esquimalt,467012.8571,5366478.092
137,Northern Pintail,Waterfowl,All,Jun-97,Count,NA,Esquimalt,467414.181,5364771.552
138,Eurasian Wigeon,Waterfowl,All,Jun-97,Count,NA,Sooke,451048.0508,5358753.057
139,American Wigeon,Waterfowl,All,Jun-97,Count,3,Sooke,449700.9781,5359009.452
140,Canvasback,Waterfowl,All,Jun-97,Count,NA,Sooke,450409.6685,5358009.637
141,Greater Scaup,Waterfowl,All,Jun-97,Count,NA,Sooke,451585.1331,5358454.244
142,Lesser Scaup,Waterfowl,All,Jun-97,Count,NA,Esquimalt,467215.7529,5366002.383
143,scaup sp.,Waterfowl,All,Jun-97,Count,NA,Sooke,451042.4913,5359256.782
144,Harlequin Duck,Waterfowl,All,Jun-97,Count,1,Esquimalt,468412.8022,5364361.405
145,Oldsquaw,Waterfowl,All,Jun-97,Count,NA,Esquimalt,466352.934,5366866.121
146,Surf Seater,Waterfowl,All,Jun-97,Count,7,Esquimalt,467327.1747,5366535.048
147,White-w inged Scoter,Waterfowl,All,Jun-97,Count,NA,Sooke,450700.9756,5357470.898
148,Common Goldeneye,Waterfowl,All,Jun-97,Count,NA,Sooke,450118.0872,5358084.928
149,Bufflehead,Waterfowl,All,Jun-97,Count,1,Sooke,451135.7949,5358043.079
150,Hooded Merganser,Waterfowl,All,Jun-97,Count,1,Sooke,450039.0533,5359192.941
151,Common Merganser,Waterfowl,All,Jun-97,Count,NA,Sooke,451384.931,5358566.774
152,Red-breasted Merganser,Waterfowl,All,Jun-97,Count,NA,Sooke,451808.9728,5359205.062
153,American Coot,Coots,All,Jun-97,Count,NA,Esquimalt,467059.7342,5366271.889
154,Semipalmated Plover,Shorebirds,All,Jun-97,Count,NA,Esquimalt,467487.9264,5364854.388
155,Killdeer,Shorebirds,All,Jun-97,Count,3,Sooke,452097.3976,5358335.892
156,Black-bellied Plover,Shorebirds,All,Jun-97,Count,NA,Sooke,451855.0623,5358506.433
157,Black Oystercatcher,Shorebirds,All,Jun-97,Count,5,Esquimalt,468110.1297,5364537.779
158,Greater Yellowlegs,Shorebirds,All,Jun-97,Count,NA,Esquimalt,467501.9461,5366067.449
159,Ruddy Turnstone,Shorebirds,All,Jun-97,Count,NA,Sooke,450254.9395,5357374.198
160,Black Turnstone,Shorebirds,All,Jun-97,Count,NA,Sooke,450717.3047,5359510.245
161,Dunlin,Shorebirds,All,Jun-97,Count,NA,Esquimalt,467038.8295,5365039.553
162,Western Sandpiper,Shorebirds,All,Jun-97,Count,8,Esquimalt,467045.5553,5365344.813
163,Least Sandpiper,Shorebirds,All,Jun-97,Count,1,Sooke,451294.9683,5359589.491
164,Sanderllng,Shorebirds,All,Jun-97,Count,NA,Esquimalt,467445.9817,5365886.896
165,Short-billed Dowitcher,Shorebirds,All,Jun-97,Count,NA,Sooke,452045.5089,5358905.39
166,Common Snipe,Shorebirds,All,Jun-97,Count,NA,Sooke,452738.4913,5357684.184
167,Red-necked Phalarope,Shorebirds,All,Jun-97,Count,NA,Sooke,451634.0184,5357813.842
168,Bonaparte's Gull,Gulls and Terns,All,Jun-97,Count,1,Sooke,449595.3204,5359114.586
169,Heermann's Gull,Gulls and Terns,All,Jun-97,Count,NA,Sooke,450286.6121,5358410.457
170,Mew Gull,Gulls and Terns,All,Jun-97,Count,19,Sooke,450904.5882,5359340.369
171,California Gull,Gulls and Terns,All,Jun-97,Count,1,Esquimalt,466944.104,5366479.253
172,Thayer's Gull,Gulls and Terns,All,Jun-97,Count,NA,Esquimalt,466529.0348,5366852.522
173,Glaucous-winged Gull,Gulls and Terns,All,Jun-97,Count,107,Esquimalt,467286.0811,5366382.128
174,Western Gull,Gulls and Terns,All,Jun-97,Count,NA,Sooke,450888.7462,5357901.663
175,gull sp.,Gulls and Terns,All,Jun-97,Count,NA,Esquimalt,468005.5034,5364812.848
176,Caspian Tern,Gulls and Terns,All,Jun-97,Count,NA,Esquimalt,466831.3464,5365407.203
177,Common Murra,Auks,All,Jun-97,Count,NA,Esquimalt,467023.5332,5366103.06
178,Pigeon Guillemot,Auks,All,Jun-97,Count,2,Sooke,452240.4565,5357774.767
179,Marbled Murrrelet,Auks,All,Jun-97,Count,NA,Sooke,452920.2399,5359573.97
180,Cassln's Auklet,Auks,All,Jun-97,Count,NA,Sooke,449544.9835,5359260.059
181,Rhinoceros Auklet,Auks,All,Jun-97,Count,7,Esquimalt,467113.795,5366440.305
182,Pied-billed Grebe,Loons and Grebes,A,Jun-97,Count,NA,Sooke,449923.1824,5358590.401
183,Horned Grebe,Loons and Grebes,A,Jun-97,Count,NA,Esquimalt,467783.5182,5364625.242
184,Western Grebe,Loons and Grebes,A,Jun-97,Count,NA,Esquimalt,466849.0545,5364812.227
185,Double-crested Cormorant,Cormorants,A,Jun-97,Count,NA,Esquimalt,467711.4033,5365481.594
186,Great Blue Heron,Herons,A,Jun-97,Count,1,Esquimalt,467418.8086,5364447.794
187,Mute Swan,Waterfowl,A,Jun-97,Count,NA,Esquimalt,467641.807,5365187.138
188,Canada Goose,Waterfowl,A,Jun-97,Count,354,Sooke,451829.416,5358262.008
189,Wood Duck,Waterfowl,A,Jun-97,Count,NA,Sooke,450743.2988,5357951.025
190,Green-winged Teal,Waterfowl,A,Jun-97,Count,NA,Sooke,450379.3787,5357339.737
191,Gadwall,Waterfowl,A,Jun-97,Count,NA,Sooke,451335.5255,5358360.369
192,Mallard,Waterfowl,A,Jun-97,Count,17,Sooke,449754.3771,5358724.513
193,Northern Pintail,Waterfowl,A,Jun-97,Count,NA,Esquimalt,466807.239,5365330.576
194,Eurasian Wigeon,Waterfowl,A,Jun-97,Count,NA,Sooke,451607.0595,5359744.259
195,American Wigeon,Waterfowl,A,Jun-97,Count,NA,Esquimalt,467566.8469,5365533.138
196,Canvasback,Waterfowl,A,Jun-97,Count,NA,Sooke,452467.1197,5358151.467
197,Greater Scaup,Waterfowl,A,Jun-97,Count,NA,Esquimalt,467296.1354,5366456.581
198,Lesser Scaup,Waterfowl,A,Jun-97,Count,NA,Sooke,451888.4098,5358857.738
199,Scaup sp.,Waterfowl,A,Jun-97,Count,NA,Sooke,449826.3899,5358310.694
200,Surf Scoter,Waterfowl,A,Jun-97,Count,NA,Esquimalt,467543.1606,5365547.593
201,Common Goldeneye,Waterfowl,A,Jun-97,Count,NA,Esquimalt,466543.8749,5366883.782
202,Bufflehead,Waterfowl,A,Jun-97,Count,NA,Esquimalt,467732.1948,5365342.135
203,Hooded Merganser,Waterfowl,A,Jun-97,Count,NA,Esquimalt,466972.6687,5365222.333
204,Common Merganser,Waterfowl,A,Jun-97,Count,NA,Sooke,451182.8127,5359072.337
205,American Coot,Coots,A,Jun-97,Count,NA,Esquimalt,467827.5329,5365703.663
206,Killdeer,Shorebirds,A,Jun-97,Count,NA,Sooke,451800.1634,5359217.152
207,Western Sandpiper,Shorebirds,A,Jun-97,Count,NA,Esquimalt,467017.7934,5365973.306
208,California Gull,Gulls and Terns,A,Jun-97,Count,NA,Esquimalt,467716.5466,5364659.319
209,Glaucous-winged Gull,Gulls and Terns,A,Jun-97,Count,9,Esquimalt,467689.1858,5364830.195
210,Belted Kingfisher,Kingfishers,A,Jun-97,Count,NA,Sooke,450559.7033,5359645.427
211,Double-crested Cormorant,Cormorants,B,Jun-97,Count,NA,Sooke,450280.0741,5358647.476
212,Great Blue Heron,Herons,B,Jun-97,Count,1,Esquimalt,468281.9772,5364891.993
213,Trumpeter Swan,Waterfowl,B,Jun-97,Count,NA,Sooke,452695.3158,5358564.852
214,Canada Goose,Waterfowl,B,Jun-97,Count,50,Sooke,452459.3169,5357902.564
215,Mallard,Waterfowl,B,Jun-97,Count,2,Sooke,451905.6194,5358237.736
216,Eurasian Wigeon,Waterfowl,B,Jun-97,Count,NA,Sooke,451521.6753,5358175
217,American Wigeon,Waterfowl,B,Jun-97,Count,NA,Sooke,450286.4085,5358864.307
218,Canvasback,Waterfowl,B,Jun-97,Count,NA,Esquimalt,467231.8819,5364415.443
219,Greater Scaup,Waterfowl,B,Jun-97,Count,NA,Sooke,450472.8301,5357405.327
220,scaup sp.,Waterfowl,B,Jun-97,Count,NA,Sooke,449408.0338,5359094.727
221,Bufflehead,Waterfowl,B,Jun-97,Count,NA,Esquimalt,467022.3694,5365412.068
222,Hooded Merganser,Waterfowl,B,Jun-97,Count,NA,Sooke,450076.1137,5358863.367
223,Common Merganser,Waterfowl,B,Jun-97,Count,NA,Esquimalt,467241.5838,5365323.436
224,Red-breasted Merganser,Waterfowl,B,Jun-97,Count,NA,Esquimalt,467252.4991,5366345.76
225,Western Sandpiper,Shorebirds,B,Jun-97,Count,NA,Esquimalt,467380.0418,5364933.27
226,Least Sandpiper,Shorebirds,B,Jun-97,Count,NA,Sooke,451731.3516,5358928.54
227,Mew Gull,Gulls and Terns,B,Jun-97,Count,NA,Sooke,452221.0762,5358439.075
228,California Gull,Gulls and Terns,B,Jun-97,Count,NA,Esquimalt,466787.7471,5366521.157
229,Glaucous-winged Gull,Gulls and Terns,B,Jun-97,Count,NA,Sooke,450729.7499,5359340.852
230,Belted Kingfisher,Kingfishers,B,Jun-97,Count,NA,Sooke,451542.1792,5357760.224
231,Red-throated Loon,Loons and Grebes,All,Aug-97,Count,NA,Sooke,452569.1007,5359295.879
232,Pacific Loon,Loons and Grebes,All,Aug-97,Count,NA,Esquimalt,467378.6508,5366381.745
233,Common Loon,Loons and Grebes,All,Aug-97,Count,NA,Esquimalt,467003.3429,5366527.695
234,Yellow-billed Loon,Loons and Grebes,All,Aug-97,Count,NA,Esquimalt,467346.7067,5365988.946
235,Pied--bllled Grebe,Loons and Grebes,All,Aug-97,Count,NA,Esquimalt,468399.5785,5364638.947
236,Eared Grebe,Loons and Grebes,All,Aug-97,Count,NA,Sooke,451889.4139,5358212.404
237,Red-necked Grebe,Loons and Grebes,All,Aug-97,Count,1,Sooke,451344.8502,5358797.615
238,Horned Grebe,Loons and Grebes,All,Aug-97,Count,NA,Sooke,452096.2722,5358414.371
239,Western Grebe,Loons and Grebes,All,Aug-97,Count,NA,Sooke,452273.5795,5357202.53
240,Double-crested Cormorant,Cormorants,All,Aug-97,Count,26,Esquimalt,467241.1165,5364442.199
241,Brandt's Cormorant,Cormorants,All,Aug-97,Count,NA,Esquimalt,467216.9825,5365370.955
242,Pelagic Cormorant,Cormorants,All,Aug-97,Count,NA,Sooke,451709.4773,5357412.282
243,Great Blue Heron,Herons,All,Aug-97,Count,6,Sooke,450810.5383,5359109.24
244,Mute Swan,Waterfowl,All,Aug-97,Count,NA,Sooke,451111.5602,5359298.019
245,Trumpeter Swan,Waterfowl,All,Aug-97,Count,NA,Esquimalt,467500.6712,5366180.162
246,Canada Goose,Waterfowl,All,Aug-97,Count,78,Esquimalt,467139.1649,5366704.291
247,Brant,Waterfowl,All,Aug-97,Count,NA,Esquimalt,468039.7813,5365164.114
248,Wood Duck,Waterfowl,All,Aug-97,Count,NA,Esquimalt,467255.2488,5366229.549
249,Green-winged Teal,Waterfowl,All,Aug-97,Count,6,Sooke,450635.5129,5357362.018
250,Gadwall,Waterfowl,All,Aug-97,Count,NA,Sooke,449231.8142,5358564.175
251,Mallard,Waterfowl,All,Aug-97,Count,237,Sooke,451197.1371,5358485.917
252,Northern Pintail,Waterfowl,All,Aug-97,Count,1,Esquimalt,466717.9398,5366696.485
253,Eurasian Wigeon,Waterfowl,All,Aug-97,Count,NA,Sooke,452263.1758,5357326.134
254,American Wigeon,Waterfowl,All,Aug-97,Count,NA,Esquimalt,466762.3833,5366277.156
255,Canvasback,Waterfowl,All,Aug-97,Count,NA,Esquimalt,467417.6642,5364735.082
256,Greater Scaup,Waterfowl,All,Aug-97,Count,NA,Sooke,450159.2564,5357876.382
257,Lesser Scaup,Waterfowl,All,Aug-97,Count,NA,Sooke,451531.743,5359686.4
258,scaup sp.,Waterfowl,All,Aug-97,Count,NA,Esquimalt,468435.5377,5364635.075
259,Harlequin Duck,Waterfowl,All,Aug-97,Count,7,Esquimalt,467836.9335,5366105.186
260,Oldsquaw,Waterfowl,All,Aug-97,Count,NA,Esquimalt,466978.2324,5364700.165
261,Surf Seater,Waterfowl,All,Aug-97,Count,1,Esquimalt,468040.6887,5364800.198
262,White-w inged Scoter,Waterfowl,All,Aug-97,Count,NA,Esquimalt,467308.9689,5366296.627
263,Common Goldeneye,Waterfowl,All,Aug-97,Count,NA,Esquimalt,467076.1091,5365942.652
264,Bufflehead,Waterfowl,All,Aug-97,Count,NA,Sooke,449553.6579,5359393.438
265,Hooded Merganser,Waterfowl,All,Aug-97,Count,NA,Esquimalt,467190.5579,5364688.271
266,Common Merganser,Waterfowl,All,Aug-97,Count,NA,Esquimalt,467836.6185,5364735.642
267,Red-breasted Merganser,Waterfowl,All,Aug-97,Count,NA,Sooke,451433.2887,5358199.91
268,American Coot,Coots,All,Aug-97,Count,1,Esquimalt,467244.5394,5365578.467
269,Semipalmated Plover,Shorebirds,All,Aug-97,Count,NA,Esquimalt,468401.0202,5364334.552
270,Killdeer,Shorebirds,All,Aug-97,Count,1,Esquimalt,467217.2061,5364805.88
271,Black-bellied Plover,Shorebirds,All,Aug-97,Count,1,Sooke,450800.1555,5358740.014
272,Black Oystercatcher,Shorebirds,All,Aug-97,Count,2,Sooke,450849.7526,5359381.376
273,Greater Yellowlegs,Shorebirds,All,Aug-97,Count,NA,Esquimalt,467111.4577,5366511.98
274,Ruddy Turnstone,Shorebirds,All,Aug-97,Count,NA,Sooke,450004.3444,5357731.436
275,Black Turnstone,Shorebirds,All,Aug-97,Count,8,Sooke,450648.4039,5358895.046
276,Dunlin,Shorebirds,All,Aug-97,Count,NA,Sooke,451056.7668,5358024.987
277,Western Sandpiper,Shorebirds,All,Aug-97,Count,40,Esquimalt,467014.2412,5365005.483
278,Least Sandpiper,Shorebirds,All,Aug-97,Count,1,Sooke,451304.0116,5359716.723
279,Sanderllng,Shorebirds,All,Aug-97,Count,2,Sooke,452179.3698,5358415.216
280,Short-billed Dowitcher,Shorebirds,All,Aug-97,Count,1,Sooke,452189.5343,5357491.827
281,Common Snipe,Shorebirds,All,Aug-97,Count,NA,Esquimalt,466767.4984,5366839.197
282,Red-necked Phalarope,Shorebirds,All,Aug-97,Count,6,Esquimalt,467229.2793,5365490.218
283,Bonaparte's Gull,Gulls and Terns,All,Aug-97,Count,18,Esquimalt,468163.6019,5364675.445
284,Heermann's Gull,Gulls and Terns,All,Aug-97,Count,8,Esquimalt,466904.6858,5366815.584
